koda_letalisce,ime
FCM,Flying Cloud Airport
LIX,Likoma Island Airport
OJC,Johnson County Executive Airport
GIU,Sigiriya Air Force Base
EUM,Neumünster Airport
TKT,Tak Airport
YLK,Barrie-Orillia (Lake Simcoe Regional Airport)
YCM,Niagara District Airport
YPD,Parry Sound Area Municipal Airport
MNZ,Manassas Regional Airport/Harry P. Davis Field
LJN,Texas Gulf Coast Regional Airport
BGG,Bingöl Çeltiksuyu Airport
KFS,Kastamonu Airport
LLV,Lüliang Airport
DCY,Daocheng Yading Airport
GXH,Gannan Xiahe Airport
CIY,Comiso Airport
KVM,Markovo Airport
ZKP,Zyryanka Airport
UMS,Ust-Maya Airport
ADH,Aldan Airport
OLZ,Olyokminsk Airport
NLT,Xinyuan Nalati Airport
PTA,Port Alsworth Airport
BOR,Fontaine Airport
OBC,Obock Airport
TDJ,Tadjoura Airport
AQB,Santa Cruz del Quiche Airport
NOR,Norðfjörður Airport
BTZ,Bursa Airport
WAR,Waris Airport
EWK,Newton City-County Airport
BSJ,Bairnsdale Airport
TZR,Taszár Air Base
FBR,Fort Bridger Airport
CLS,Chehalis Centralia Airport
EVW,Evanston-Uinta County Airport-Burns Field
EUF,Weedon Field
MEO,Dare County Regional Airport
AUO,Auburn University Regional Airport
DBN,W H 'Bud' Barron Airport
PUK,Pukarua Airport
CVO,Corvallis Municipal Airport
PXH,Prominent Hill Airport
CWT,Cowra Airport
OGD,Ogden Hinckley Airport
AKO,Colorado Plains Regional Airport
SHN,Sanderson Field
WNA,Napakiak Airport
PKA,Napaskiak Airport
YBW,Bedwell Harbour Seaplane Base
WSO,Washabo Airport
WKR,Abaco I Walker C Airport
GFO,Bartica A Airport
DYL,Doylestown Airport
TGI,Tingo Maria Airport
TJL,Plínio Alarcom Airport
YZY,Zhangye Ganzhou Airport
OAL,Cacoal Airport
OCW,Warren Field
MHC,Mocopulli Airport
SWO,Stillwater Regional Airport
OKM,Okmulgee Regional Airport
CUH,Cushing Municipal Airport
CSM,Clinton Sherman Airport
WLD,Strother Field
PWA,Wiley Post Airport
DTN,Shreveport Downtown Airport
SEP,Stephenville Clark Regional Airport
ADT,Ada Regional Airport
IRB,Iraan Municipal Airport
YEL,Elliot Lake Municipal Airport
IKB,Wilkes County Airport
DAN,Danville Regional Airport
ERG,Yerbogachen Airport
HCW,Cheraw Municipal Airport/Lynch Bellinger Field
BEM,Beni Mellal Airport
NKT,Şırnak Şerafettin Elçi Airport
SUY,Suntar Airport
OUZ,Tazadit Airport
ABB,Asaba International Airport
QUO,Akwa Ibom International Airport
KAA,Kasama Airport
SGX,Songea Airport
JUH,Jiuhuashan Airport
AOG,Anshan Air Base
DQA,Saertu Airport
ZYI,Zunyi Xinzhou Airport
LDS,Lindu Airport
AVA,Anshun Huangguoshu Airport
KSS,Sikasso Airport
WTB,Toowoomba Wellcamp Airport
TNH,Tonghua Sanyuanpu Airport
SZV,Suzhou Guangfu Airport
LII,Mulia Airport
NTI,Stenkol Airport
WSR,Wasior Airport
DTB,Silangit Airport
MEQ,Seunagan Airport
BUW,Betoambari Airport
KAZ,Kao Airport
MNA,Melangguane Airport
SGQ,Sanggata/Sangkimah Airport
BUU,Muara Bungo Airport
ILA,Illaga Airport
OKL,Oksibil Airport
KOX,Kokonau Airport
CMQ,Clermont Airport
WMB,Warrnambool Airport
RCM,Richmond Airport
DCN,RAAF Base Curtin
KNO,Kualanamu International Airport
AMN,Gratiot Community Airport
HMY,Seosan Air Base
EMT,San Gabriel Valley Airport
FAH,Farah Airport
IXT,Pasighat Airport
KRQ,Kramatorsk Airport
QKX,Kautokeino Air Base
SSF,Stinson Municipal Airport
JAS,Jasper County Airport-Bell Field
MRF,Marfa Municipal Airport
ALE,Alpine Casparis Municipal Airport
BQE,Bubaque Airport
CZA,Chichen Itza International Airport
BUY,Bunbury Airport
CCB,Cable Airport
EKI,Elkhart Municipal Airport
CUB,Jim Hamilton L.B. Owens Airport
GDC,Donaldson Field Airport
HVS,Hartsville Regional Airport
SZT,San Cristobal de las Casas Airport
DU9,Dunnville Airport
RIH,Scarlett Martinez International Airport
LEE,Leesburg International Airport
PPY,Pouso Alegre Airport
DIQ,Brigadeiro Cabral Airport
EIK,Yeysk Airport
ERD,Berdyansk Airport
BWX,Blimbingsari Airport
ERL,Erenhot Saiwusu International Airport
CNO,Chino Airport
HTR,Hateruma Airport
BWW,Las Brujas Airport
PRB,Paso Robles Municipal Airport
PKX,Beijing Daxing International Airport
HAF,Half Moon Bay Airport
HCJ,Hechi Jinchengjiang Airport
WJF,General WM J Fox Airfield
CJF,Coondewanna Airport
GUZ,Guarapari Airport
UBT,Ubatuba Airport
BOX,Borroloola Airport
QUG,Chichester/Goodwood Airport
TNW,Jumandy Airport
FYJ,Dongji Aiport
PZL,Zulu Inyala Airport
LPF,Liupanshui Yuezhao Airport
KJH,Kaili Airport
HPG,Shennongjia Hongping Airport
ZQZ,Zhangjiakou Ningyuan Airport
YIE,Arxan Yi'ershi Airport
HNY,Hengyang Nanyue Airport
AHJ,Hongyuan Airport
WOS,Wonsan Kalma International Airport
IGT,Magas Airport
ASN,Talladega Municipal Airport
GMU,Greenville Downtown Airport
NGD,Captain Auguste George Airport
TOI,Troy Municipal Airport at N Kenneth Campbell Field
ETS,Enterprise Municipal Airport
EFG,Efogi Airport
KGW,Kagi Airport
NDN,Nadunumu Airport
BNM,Bodinumu Airport
ALX,Thomas C Russell Field
PKT,Port Keats Airport
GPN,Garden Point Airport
DOH,Hamad International Airport
HZP,Fort Mackay / Horizon Airport
HDE,Brewster Field
PTT,Pratt Regional Airport
LXN,Jim Kelly Field
CBF,Council Bluffs Municipal Airport
OKK,Kokomo Municipal Airport
GBG,Galesburg Municipal Airport
GUY,Guymon Municipal Airport
IDP,Independence Municipal Airport
BBC,Bay City Municipal Airport
PRX,Cox Field
CFV,Coffeyville Municipal Airport
GXY,Greeley–Weld County Airport
OEL,Oryol Yuzhny Airport
FET,Fremont Municipal Airport
LGD,La Grande/Union County Airport
SZY,Olsztyn-Mazury Airport
MPO,Pocono Mountains Municipal Airport
UKT,Quakertown Airport
YBA,Banff Airport
BNG,Banning Municipal Airport
OFK,Karl Stefan Memorial Airport
TFL,Juscelino Kubitscheck Airport
TPF,Peter O Knight Airport
BZC,Umberto Modiano Airport
ITP,Itaperuna Airport
REZ,Resende Airport
KBN,Tunta Airport
IKL,Ikela Airport
AIR,Aripuanã Airport
JRN,Juruena Airport
JIA,Juína Airport
VLP,Vila Rica Airport
JUA,Inácio Luís do Nascimento Airport
CCX,Cáceres Airport
TGQ,Tangará da Serra Airport
CQA,Canarana Airport
MTG,Vila Bela da Santíssima Trindade Airport
BMB,Bumbar Airport
APQ,Arapiraca Airport
FLB,Cangapara Airport
PCS,Picos Airport
BNC,Beni Airport
BNB,Boende Airport
MTP,Montauk Airport
VPZ,Porter County Municipal Airport
DRV,Dharavandhoo Airport
SXK,Saumlaki/Olilit Airport
MLZ,Cerro Largo International Airport
PDU,Tydeo Larre Borges Airport
ATI,Artigas International Airport
HSM,Horsham Airport
SWH,Swan Hill Airport
TTL,Turtle Island Seaplane Base
KWB,Dewadaru - Kemujan Island
KOO,Kongolo Airport
AOU,Attopeu Airport
SQX,São Miguel do Oeste Airport
LDM,Mason County Airport
RHV,Reid-Hillview Airport of Santa Clara County
OHS,Sohar Airport
KCF,Kadanwari Airport
RZS,Sawan Airport
TMF,Thimarafushi Airport
IFU,Ifuru Airport
KZF,Kaintiba Airport
OGU,Ordu Giresun Airport
YKO,Hakkari Yüksekova Airport
BUT,Bathpalathang Airport
TLI,Sultan Bantilan Airport
TQL,Tarko-Sale Airport
JIC,Jinchuan Airport
BPL,Alashankou Bole (Bortala) airport
FYN,Fuyun Koktokay Airport
ACS,Achinsk Airport
LFQ,Linfen Qiaoli Airport
YJP,Hinton/Jasper-Hinton Airport
WVI,Watsonville Municipal Airport
GLU,Gelephu Airport
HLI,Hollister Municipal Airport
DLK,Dulkaninna Airport
YBS,Opapimiskan Lake Airport
RIZ,Rizhao Shanzihe Airport
SQJ,Shaxian Airport
XTO,Taroom Airport
YSE,Squamish Airport
YAH,La Grande-4 Airport
YAL,Alert Bay Airport
YCE,Centralia / James T. Field Memorial Aerodrome
YCQ,Chetwynd Airport
XRR,Ross River Airport
YDO,Dolbeau St Felicien Airport
YEY,Amos/Magny Airport
YHE,Hope Airport
YHT,Haines Junction Airport
YDG,Digby / Annapolis Regional Airport
YJF,Fort Liard Airport
YKJ,Key Lake Airport
YLR,Leaf Rapids Airport
YME,Matane Airport
YML,Charlevoix Airport
YOS,Owen Sound / Billy Bishop Regional Airport
YPS,Port Hawkesbury Airport
YQS,St Thomas Municipal Airport
YRO,Ottawa / Rockcliffe Airport
YSH,Smiths Falls-Montague (Russ Beach) Airport
YSL,St Leonard Airport
YVE,Vernon Airport
YXQ,Beaver Creek Airport
YSN,Shuswap Regional Airport
KES,Kelsey Airport
XPK,Pukatawagan Airport
ZGF,Grand Forks Airport
ZJG,Jenpeg Airport
YTD,Thicket Portage Airport
PIW,Pikwitonei Airport
XPP,Poplar River Airport
WPC,Pincher Creek Airport
ZST,Stewart Airport
ZUC,Ignace Municipal Airport
FNB,Neubrandenburg Airport
FSS,RAF Kinloss
BXP,Biała Podlaska Airfield
DGP,Daugavpils Intrenational Airport
LMR,Lime Acres Finsch Mine Airport
SXN,Sua Pan Airport
NDD,Sumbe Airport
MAI,Mangochi Airport
ADI,Arandis Airport
MWE,Merowe New Airport
ALN,St Louis Regional Airport
AXN,Chandler Field
CLU,Columbus Municipal Airport
BBD,Curtis Field
BIH,Eastern Sierra Regional Airport
BKE,Baker City Municipal Airport
BPI,Miley Memorial Field
WMH,Ozark Regional Airport
BTL,W K Kellogg Airport
BYI,Burley Municipal Airport
CCY,Northeast Iowa Regional Airport
CNU,Chanute Martin Johnson Airport
CRG,Jacksonville Executive at Craig Airport
CSV,Crossville Memorial Whitson Field
DAA,Davison Army Air Field
DAG,Barstow Daggett Airport
DMN,Deming Municipal Airport
DRA,Desert Rock Airport
EED,Needles Airport
EGI,Duke Field
EKA,Murray Field
HYR,Sawyer County Airport
JCT,Kimble County Airport
LOL,Derby Field
MBG,Mobridge Municipal Airport
MCB,Mc Comb/Pike County Airport/John E Lewis Field
MDH,Southern Illinois Airport
MMT,Mc Entire Joint National Guard Base
NHZ,Brunswick Executive Airport
NRB,Naval Station Mayport (Admiral David L. Mcdonald Field)
OGB,Orangeburg Municipal Airport
OTM,Ottumwa Regional Airport
OZR,Cairns AAF (Fort Rucker) Air Field
PWY,Ralph Wenz Field
POU,Dutchess County Airport
RSL,Russell Municipal Airport
RWF,Redwood Falls Municipal Airport
SNS,Salinas Municipal Airport
TPH,Tonopah Airport
UKI,Ukiah Municipal Airport
UOX,University Oxford Airport
HTV,Huntsville Regional Airport
VTN,Miller Field
WMC,Winnemucca Municipal Airport
WWR,West Woodward Airport
ZZV,Zanesville Municipal Airport
ECV,Cuatro Vientos Airport
CDT,Castellón-Costa Azahar Airport
TEV,Teruel Airport
QLP,Sarzana-Luni Air Base
BJY,Batajnica Air Base
RUV,Rubelsanto Airport
XPL,Coronel Enrique Soto Cano Air Base
UPL,Upala Airport
QSN,San Nicolas De Bari Airport
SNJ,San Julian Air Base
DWD,King Salman Abdulaziz Airport
KMX,King Khaled Air Base
XXN,Riyadh Air Base
KNR,Jam Airport
PYK,Payam International Airport
XIJ,Ahmed Al Jaber Air Base
ATG,Minhas Air Base
SGI,Mushaf Air Base
RQW,Qayyarah West Airport
ENN,Nenana Municipal Airport
WWA,Wasilla Airport
IWK,Iwakuni Marine Corps Air Station
IEJ,Ie Jima Airport
AAV,Allah Valley Airport
BPH,Bislig Airport
MXI,Mati National Airport
BAT,Chafei Amsei Airport
QHP,Base de Aviação de Taubaté Airport
TOQ,Barriles Airport
CNR,Chañaral Airport
TLX,Panguilemo Airport
ZIC,Victoria Airport
TTC,Las Breas Airport
API,Gomez Nino Apiay Air Base
CVE,Coveñas Airport
PAL,German Olano Air Base
PZA,Paz De Ariporo Airport
TQS,Tres Esquinas Air Base
RIJ,Juan Simons Vela Airport
JAE,Shumba Airport
IKU,Issyk-Kul International Airport
VYI,Vilyuisk Airport
BGN,Belaya Gora Airport
GVN,Maygatka Airport.
NLI,Nikolayevsk-na-Amure Airport
VLK,Volgodonsk Airport
INA,Inta Airport
ZIX,Zhigansk Airport
RTC,Ratnagiri Airport
HIM,Hingurakgoda Air Force Base
RDP,Kazi Nazrul Islam Airport
PUT,Sri Sathya Sai Airport
LNX,Smolensk North Airport
ABH,Alpha Airport
ARY,Ararat Airport
BLN,Benalla Airport
BZD,Balranald Airport
BWQ,Brewarrina Airport
CVC,Cleve Airport
CWW,Corowa Airport
CYG,Corryong Airport
CMD,Cootamundra Airport
DRN,Dirranbandi Airport
DNQ,Deniliquin Airport
DYA,Dysart Airport
ECH,Echuca Airport
FRB,Forbes Airport
GUH,Gunnedah Airport
HXX,Hay Airport
HTU,Hopetoun Airport
KRA,Kerang Airport
KPS,Kempsey Airport
KGY,Kingaroy Airport
TGN,Latrobe Valley Airport
MRG,Mareeba Airport
RPM,Ngukurr Airport
QRM,Narromine Airport
PPI,Port Pirie Airport
SIO,Smithton Airport
SNB,Snake Bay Airport
SWC,Stawell Airport
TYB,Tibooburra Airport
TUM,Tumut Airport
WGT,Wangaratta Airport
WKB,Warracknabeal Airport
QRR,Warren Airport
SXE,West Sale Airport
WWY,West Wyalong Airport
NGA,Young Airport
LHK,Guangzhou MR Air Base
WDS,Shiyan Wudangshan Airport
HTT,Huatugou Airport
UUN,Baruun Urt Airport
BFU,Bengbu Airport
RUG,Rugao Air Base
WHU,Wuhu Air Base
SXJ,Shanshan Airport
YKH,Yingkou Lanqi Airport
BQG,Bogorodskoye Airport
HYD,Rajiv Gandhi International Airport
PKO,Parakou Airport
KDC,Kandi Airport
HMG,Hermannsburg Airport
BIB,Baidoa Airport
KCS,Kings Creek Airport
BMR,Baltrum Airport
MVW,Skagit Regional Airport
GOO,Goondiwindi Airport
APT,Marion County Brown Field
DCU,Pryor Field Regional Airport
GLW,Glasgow Municipal Airport
DKV,Docker River Airport
RNZ,Jasper County Airport
SBT,Sabetta International Airport
AXF,Alxa Left Banner Bayanhot Airport
NIS,Simberi Airport
BUL,Bulolo Airport
TBR,Statesboro Bulloch County Airport
AMT,Amata Airport
EDD,Erldunda Airport
FIK,Finke Airport
JJG,Humberto Ghizzo Bortoluzzi Regional Airport
WKI,Hwange (Town) Airport
KLJ,Klaipėda Airport
ETB,West Bend Municipal Airport
GLR,Gaylord Regional Airport
AID,Anderson Municipal Darlington Field
QND,Cenej Airport
GUU,Grundarfjörður Airport
PCD,Prairie Du Chien Municipal Airport
OTJ,Otjiwarongo Airport
TSM,Taos Regional Airport
RTN,Raton Municipal-Crews Field
PPA,Perry Lefors Field
FLP,Marion County Regional Airport
BGD,Hutchinson County Airport
HLE,St. Helena Airport
BNJ,Bonn-Hangelar Airport
NGK,Nogliki Airport
SQA,Santa Ynez Airport
HXD,Delingha Airport
BAR,Qionghai Bo'ao Airport
ZBO,Bowen Airport
UCB,Ulanqab Jining Airport
KEO,Odienne Airport
GII,Siguiri Airport
NZE,Nzérékoré Airport
OCM,Boolgeeda
WGN,Shaoyang Wugang Airport
TXF,9 de Maio - Teixeira de Freitas Airport
SPA,Spartanburg Downtown Memorial Airport
BJW,Bajawa Soa Airport
NBN,Annobón Airport
OLL,Oyo Ollombo Airport
PPF,Tri-City Airport
PCQ,Boun Neau Airport
AYS,Waycross Ware County Airport
DSS,Blaise Diagne International Airport
PMH,Greater Portsmouth Regional Airport
NAC,Naracoorte Airport
PGZ,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo
PQM,Palenque International Airport
CUD,Caloundra Airport
CLP,Clarks Point Airport
JOJ,Doris Lake
ECI,Costa Esmeralda Airport
QGQ,Attu Heliport
QPW,Kangaatsiaq Heliport
QJE,Kitsissuarsuit Heliport
XIQ,Ilimanaq Heliport
QQT,Qeqertaq Heliport
QJI,Ikamiut Heliport
QFG,Eqalugaarsuit Heliport
QRY,Ikerassaarsuk Heliport
NPR,Novo Progresso Airport
SMT,Adolino Bedin Regional Airport
ENO,Encarnación Airport
UZR,Urzhar Airport
NYR,Nyurba Airport
SUK,Sakkyryr Airport
UKG,Ust-Kuyga Airport
VHV,Verkhnevilyuisk Airport
DEE,Mendeleyevo Airport
EKS,Shakhtyorsk Airport
TLK,Talakan Airport
RDB,Red Dog Airport
ION,Impfondo Airport
EBH,El Bayadh Airport
ZIS,Alzintan Airport
MYZ,Monkey Bay Airport
BCU,Sir Abubakar Tafawa Balewa International Airport
GMO,Gombe Lawanti International Airport
KDA,Kolda North Airport
SHO,King Mswati III International Airport
KIY,Kilwa Masoko Airport
QSI,Moshi Airport
MNS,Mansa Airport
GZI,Ghazni Airport
DBC,Baicheng Chang'an Airport
LNL,Longnan Chengzhou Airport
SQD,Shangrao Sanqingshan Airport
YSQ,Songyuan Chaganhu Airport
JSJ,Jiansanjiang Airport
WMT,Zunyi Maotai Airport
LLB,Libo Airport
CDE,Chengde Puning Airport
DTU,Wudalianchi Dedu Airport
EJN,Ejin Banner-Taolai Airport
RHT,Alxa Right Banner Badanjilin Airport
HUO,Holingol Huolinhe Airport
GMQ,Golog Maqin Airport
QSZ,Yeerqiang Airport
TEI,Tezu Airport
CWJ,Cangyuan Washan Airport
JMJ,Lancang Jingmai Airport
NLH,Ninglang Luguhu Airport
PBQ,Pimenta Bueno Airport
WUT,Xinzhou Wutaishan Airport
NZL,Chengjisihan Airport
AIP,Adampur Airport
VDY,Vijayanagar Aerodrome (JSW)
SAG,Shirdi Airport
PYB,Jeypore Airport
SUP,Trunojoyo Airport
RKO,Rokot Airport
PPR,Pasir Pangaraan Airport
TJB,Sei Bati Airport
KRC,Departi Parbo Airport
NRE,Namrole Airport
NAM,Namlea Airport
DOB,Rar Gwamar Airport
SQN,Emalamo Sanana Airport
AYW,Ayawasi Airport
BYQ,Bunyu Airport
UOL,Buol Airport
RAQ,Sugimanuru Airport
JSK,Jask Airport
ZBY,Sayaboury Airport
BGL,Baglung Airport
RJB,Rajbiraj Airport
DQM,Duqm International Airport
CKI,Croker Island Airport
BYP,Barimunya Airport
LUC,Laucala Island Airport
YAS,Yasawa Island Airport
WIK,Waiheke Reeve Airport
DEX,Nop Goliat Airport
NAU,Napuka Island Airport
FAC,Faaite Airport
NUK,Nukutavake Airport
VHZ,Vahitahi Airport
HHZ,Hikueru Atoll Airport
RRR,Raroia Airport
KHZ,Kauehi Airport
TKV,Tatakoto Airport
TDS,Sasereme Airport
TMH,Tanah Merah Airport
NKB,Noonkanbah Airport
AEI,Algeciras Heliport
KSE,Kasese Airport
NCJ,Sunchales Aeroclub Airport
IST,Istanbul Airport
SOV,Seldovia Airport
YSG,Lutselk'e Airport
DWA,Dwangwa Airport
HGI,"Paloich Airport, Heliport"
KQH,Kishangarh Airport
CNN,Kannur International Airport
ZCO,La Araucanía Airport
ASS,Arathusa Safari Lodge Airport
VDI,Vidalia Regional Airport
ISB,New Islamabad International Airport
MHE,Mitchell Municipal Airport
GIT,Mchauru Airport
GID,Gitega Airport
RMU,Región de Murcia International Airport
CQS,Costa Marques Airport
ZXT,Zabrat Airport
JAM,Bezmer Air Base
YUA,Yuanmou Air Base
XEN,Xingcheng Air Base
GEC,Lefkoniko Airport
MBI,Songwe Airport
UGU,Bilogai-Sugapa Airport
ETM,Ramon Airport
MNH,Rustaq Airport
CGY,Laguindingan Airport
CPO,Desierto de Atacama Airport
